filename,width,height,class,xmin,ymin,xmax,ymax
D7_18b8072e-60a5-11ec-8402-0a7404972c70_jpg.rf.19fcb6782853c2e879a92912af107cf8.jpg,640,640,Blepharitis,0,0,640,640
D6_3ad5eb10-60a5-11ec-8402-0a7404972c70_jpg.rf.1a5cdac4bad0727f7641b85f553f2c84.jpg,640,640,Blepharitis,0,0,640,640
crop_D9_101471e0-60a5-11ec-8402-0a7404972c70_jpg.rf.1b5609b2f1c412400c37f1f019005f2d.jpg,640,640,Blepharitis,3,2,564,511
crop_D17_10afe43c-60a5-11ec-8402-0a7404972c70_jpg.rf.1bd85a5302536e3698ec8374a2eb3f73.jpg,640,640,Blepharitis,22,0,640,607
D0_191cfb40-60a5-11ec-8402-0a7404972c70_jpg.rf.1bbea7aca0e5db67a3bb20fb79ac4313.jpg,640,640,Blepharitis,2,0,640,640
D7_18b8072e-60a5-11ec-8402-0a7404972c70_jpg.rf.1c10d4c1f53857eb078d434627d187ab.jpg,640,640,Blepharitis,0,0,640,640
crop_D59_3db22d68-60a5-11ec-8402-0a7404972c70_jpg.rf.1c33475fb4ec9cfc299b30a0fc4f7cf2.jpg,640,640,Blepharitis,1,0,640,639
D7_3dcfb58b-60a5-11ec-8402-0a7404972c70_jpg.rf.1c9f64b005c94f83961e28806853482c.jpg,640,640,Blepharitis,0,0,640,640
crop_D9_3da74136-60a5-11ec-8402-0a7404972c70_jpg.rf.1c7ab283197d5894efc1d5c34912548e.jpg,640,640,Blepharitis,0,0,640,630
D3_190d3db0-60a5-11ec-8402-0a7404972c70_jpg.rf.1cc16abe239f03270d4c2564921e2ba4.jpg,640,640,Blepharitis,0,0,640,640
D7_3dce7bec-60a5-11ec-8402-0a7404972c70_jpg.rf.1c8be212e06ff06343575dc280023db8.jpg,640,640,Blepharitis,0,0,640,640
D5_3dd3efb9-60a5-11ec-8402-0a7404972c70_jpg.rf.1c8200114f4fddedfacb077f973fe8c9.jpg,640,640,Blepharitis,0,0,640,640
crop_D8_10c2b4cb-60a5-11ec-8402-0a7404972c70_jpg.rf.1ce85d6a656d4127d06bc647c2761aaf.jpg,640,640,Blepharitis,28,54,573,545
crop_D56_10abb3f3-60a5-11ec-8402-0a7404972c70_jpg.rf.1d1293b63b64fe38739b5c2be1e74d14.jpg,640,640,Blepharitis,77,70,590,507
crop_D28_3dadaf5a-60a5-11ec-8402-0a7404972c70_jpg.rf.1df848f806cec44dd3320f2ca627b577.jpg,640,640,Blepharitis,86,117,640,595
crop_D3_10540030-60a5-11ec-8402-0a7404972c70_jpg.rf.1e04ddd1ca32e542ce2f2e0bcb40bcb2.jpg,640,640,Blepharitis,133,69,640,579
crop_D4_10ce1286-60a5-11ec-8402-0a7404972c70_jpg.rf.1dfd25ab0a1f750f432fc88db5fa8f72.jpg,640,640,Blepharitis,0,0,548,566
crop_D18_10abbf6f-60a5-11ec-8402-0a7404972c70_jpg.rf.1e002de6b605dd3b924745c923f7c83f.jpg,640,640,Blepharitis,0,80,380,526
D4_18d07c03-60a5-11ec-8402-0a7404972c70_jpg.rf.1ea4bc72cd5924cf2f1eb9e8c27115e2.jpg,640,640,Blepharitis,0,0,628,640
crop_D30_3dadd59d-60a5-11ec-8402-0a7404972c70_jpg.rf.1f0e5f1ac5fc36a718a95cacc4c15131.jpg,640,640,Blepharitis,96,160,567,568
crop_D28_3dad4b1e-60a5-11ec-8402-0a7404972c70_jpg.rf.1fdb828771697acd1b701bca6f40bb50.jpg,640,640,Blepharitis,18,0,625,504
crop_D53_3dae9747-60a5-11ec-8402-0a7404972c70_jpg.rf.1fd4fee67394963aa3570b0a7c38f0a7.jpg,640,640,Blepharitis,0,0,640,604
D12_3dd0ccf9-60a5-11ec-8402-0a7404972c70_jpg.rf.1f9a05f6e8514bc00db0defc356bf4fc.jpg,640,640,Blepharitis,0,0,640,640
crop_D42_3daf59ad-60a5-11ec-8402-0a7404972c70_jpg.rf.20049cfcf6d7d94ae5d96a0c21868f5a.jpg,640,640,Blepharitis,115,99,588,525
crop_D8_10ac13a9-60a5-11ec-8402-0a7404972c70_jpg.rf.201441b9f487dd294ce1577ed7819114.jpg,640,640,Blepharitis,73,64,581,499
D10_1902847d-60a5-11ec-8402-0a7404972c70_jpg.rf.20284c65d3a400ea59794f281c5e51f8.jpg,640,640,Blepharitis,0,0,640,640
crop_D28_3dadaf5a-60a5-11ec-8402-0a7404972c70_jpg.rf.201e81975704708749727d269ed7819d.jpg,640,640,Blepharitis,66,65,640,592
